analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,prevalence_condition
operational_prevalence_sweep,all_minority_0.4,6,21,1,0.4,0.4,285,114,171,34,13,21,19,2,7,6,0.5,0.7352941176470589,0.75,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.7307692307692307,8,0.23529411764705882,1.3333333333333333,0.5714285714285714,0.5,0.6483516483516484,0.6941294245848324,0.20357899674999497,0.20779232461662855,0.4
operational_prevalence_sweep,all_minority_0.4,6,42,1,0.4,0.4,285,114,171,34,13,21,20,1,7,6,0.5,0.7647058823529411,0.8571428571428571,0.46153846153846156,0.9523809523809523,0.7069597069597069,0.7407407407407407,7,0.20588235294117646,1.1666666666666667,0.6,0.5084745762711864,0.6501831501831502,0.7003187444363914,0.20165397179869385,0.18706881167257536,0.4
operational_prevalence_sweep,all_minority_0.4,6,99,1,0.4,0.4,285,114,171,34,13,21,19,2,7,6,0.5,0.7352941176470589,0.75,0.46153846153846156,0.9047619047619048,0.6831501831501832,0.7307692307692307,8,0.23529411764705882,1.3333333333333333,0.5714285714285714,0.5,0.6483516483516483,0.699181809475927,0.20389178895160737,0.1941320880809251,0.4
operational_prevalence_sweep,all_minority_0.4,7,1,1,0.4,0.40069686411149824,287,115,172,33,12,21,18,3,5,7,0.5,0.7575757575757576,0.7,0.5833333333333334,0.8571428571428571,0.7202380952380952,0.782608695652174,10,0.30303030303030304,1.4285714285714286,0.6363636363636364,0.603448275862069,0.7380952380952381,0.6007430435062013,0.20399484903091508,0.12673874267122964,0.4
operational_prevalence_sweep,all_minority_0.4,7,7,1,0.4,0.40069686411149824,287,115,172,33,12,21,18,3,4,8,0.5,0.7878787878787878,0.7272727272727273,0.6666666666666666,0.8571428571428571,0.7619047619047619,0.8181818181818182,11,0.3333333333333333,1.375,0.6956521739130435,0.6779661016949152,0.7420634920634921,0.6281522470270202,0.19752580963737232,0.17476909946311603,0.4
operational_prevalence_sweep,all_minority_0.4,7,21,1,0.4,0.40069686411149824,287,115,172,33,12,21,18,3,4,8,0.5,0.7878787878787878,0.7272727272727273,0.6666666666666666,0.8571428571428571,0.7619047619047619,0.8181818181818182,11,0.3333333333333333,1.375,0.6956521739130435,0.6779661016949152,0.751984126984127,0.6317554858934169,0.1950543816738929,0.15862417514577054,0.4
operational_prevalence_sweep,all_minority_0.4,7,42,1,0.4,0.40069686411149824,287,115,172,33,12,21,18,3,5,7,0.5,0.7575757575757576,0.7,0.5833333333333334,0.8571428571428571,0.7202380952380952,0.782608695652174,10,0.30303030303030304,1.4285714285714286,0.6363636363636364,0.603448275862069,0.742063492063492,0.6086780118030117,0.1993969710841589,0.1218447768778512,0.4
operational_prevalence_sweep,all_minority_0.4,7,99,1,0.4,0.40069686411149824,287,115,172,33,12,21,18,3,4,8,0.5,0.7878787878787878,0.7272727272727273,0.6666666666666666,0.8571428571428571,0.7619047619047619,0.8181818181818182,11,0.3333333333333333,1.375,0.6956521739130435,0.6779661016949152,0.7698412698412699,0.6448917748917748,0.19500683586108786,0.17266500967018533,0.4
operational_prevalence_sweep,all_minority_0.4,8,1,1,0.4,0.40069686411149824,287,115,172,33,12,21,16,5,2,10,0.5,0.7878787878787878,0.6666666666666666,0.8333333333333334,0.7619047619047619,0.7976190476190477,0.8888888888888888,15,0.45454545454545453,1.5,0.7407407407407407,0.7936507936507936,0.8134920634920635,0.7192324151882975,0.16304988665669756,0.10662193776983202,0.4
operational_prevalence_sweep,all_minority_0.4,8,7,1,0.4,0.40069686411149824,287,115,172,33,12,21,16,5,4,8,0.5,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.7619047619047619,0.7142857142857142,0.8,13,0.3939393939393939,1.625,0.64,0.6557377049180327,0.8134920634920635,0.7287034996593821,0.16353698543313716,0.12376498272924713,0.4
operational_prevalence_sweep,all_minority_0.4,8,21,1,0.4,0.40069686411149824,287,115,172,33,12,21,16,5,4,8,0.5,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.7619047619047619,0.7142857142857142,0.8,13,0.3939393939393939,1.625,0.64,0.6557377049180327,0.8253968253968254,0.7549467009025833,0.16447081008971717,0.14183817307154337,0.4
operational_prevalence_sweep,all_minority_0.4,8,42,1,0.4,0.40069686411149824,287,115,172,33,12,21,16,5,4,8,0.5,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.7619047619047619,0.7142857142857142,0.8,13,0.3939393939393939,1.625,0.64,0.6557377049180327,0.8174603174603174,0.7472550869609693,0.16367583801025465,0.15314050154252484,0.4
operational_prevalence_sweep,all_minority_0.4,8,99,1,0.4,0.40069686411149824,287,115,172,33,12,21,16,5,3,9,0.5,0.7575757575757576,0.6428571428571429,0.75,0.7619047619047619,0.7559523809523809,0.8421052631578947,14,0.42424242424242425,1.5555555555555556,0.6923076923076923,0.7258064516129032,0.8015873015873015,0.7191917151475976,0.16419830518781645,0.12215970885573012,0.4
operational_prevalence_sweep,all_minority_0.4,9,1,1,0.4,0.40069686411149824,287,115,172,33,12,21,19,2,4,8,0.5,0.8181818181818182,0.8,0.6666666666666666,0.9047619047619048,0.7857142857142857,0.8260869565217391,10,0.30303030303030304,1.25,0.7272727272727273,0.6896551724137931,0.8968253968253969,0.8029322529322529,0.1371119145402801,0.21369118356343472,0.4
operational_prevalence_sweep,all_minority_0.4,9,7,1,0.4,0.40069686411149824,287,115,172,33,12,21,19,2,4,8,0.5,0.8181818181818182,0.8,0.6666666666666666,0.9047619047619048,0.7857142857142857,0.8260869565217391,10,0.30303030303030304,1.25,0.7272727272727273,0.6896551724137931,0.8968253968253969,0.8114029489029488,0.13820654571972288,0.19676627354188397,0.4
operational_prevalence_sweep,all_minority_0.4,9,21,1,0.4,0.40069686411149824,287,115,172,33,12,21,19,2,4,8,0.5,0.8181818181818182,0.8,0.6666666666666666,0.9047619047619048,0.7857142857142857,0.8260869565217391,10,0.30303030303030304,1.25,0.7272727272727273,0.6896551724137931,0.8809523809523809,0.7887658637658639,0.13874114468742307,0.1879300457058531,0.4
