model,order,feature_i,feature_j,mean_signed_fsii,sd_signed_fsii,mean_abs_fsii,sd_abs_fsii,positive_direction_fraction,explained_students,signed_ci_low,signed_ci_high,direction,budget,explanation_scale,uncertainty_role,feature_i_construct,feature_j_construct
B-TabPFN K=1,2,Q3_Assignments,Q7_PHQ2_Depressed,0.0004308344,0.0164634125,0.0123522023,0.0106647466,0.625,32,-0.0055048588,0.0063665275,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q3_Assignments,Q8_GAD2_Nervous,0.001204236,0.0067908243,0.0050487296,0.0046152292,0.6875,32,-0.0012441172,0.0036525893,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q3_Assignments,Q9_GAD2_Worry,-0.000522055,0.0106334512,0.0081660066,0.0066720961,0.375,32,-0.0043558229,0.003311713,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic engagement and integration,Psychological distress
B-TabPFN K=1,2,Q4_Repeating,Q10_Financial_Difficulty,-0.0020990028,0.011907517,0.0080588042,0.0089049196,0.46875,32,-0.0063921205,0.0021941149,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Structural and contextual barriers
B-TabPFN K=1,2,Q4_Repeating,Q11_Internet_Access,-0.0003335804,0.0049032414,0.0040614377,0.0026700674,0.5,32,-0.0021013874,0.0014342267,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Structural and contextual barriers
B-TabPFN K=1,2,Q4_Repeating,Q12_Outside_Responsibilities,-0.0013936333,0.0090770858,0.0068268289,0.0060240646,0.53125,32,-0.0046662718,0.0018790051,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Structural and contextual barriers
B-TabPFN K=1,2,Q4_Repeating,Q13_Faculty,0.0002030821,0.0061636437,0.0042685428,0.0043846166,0.53125,32,-0.0020191484,0.0024253126,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Institutional and programme context
B-TabPFN K=1,2,Q4_Repeating,Q14_Year,-0.0005385349,0.0054697393,0.0040413999,0.0036548108,0.53125,32,-0.0025105862,0.0014335164,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Institutional and programme context
B-TabPFN K=1,2,Q4_Repeating,Q16_Belonging,-0.0036527785,0.0109274998,0.0081667327,0.0080210014,0.4375,32,-0.0075925623,0.0002870053,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Social and institutional integration
B-TabPFN K=1,2,Q4_Repeating,Q6_PHQ2_Interest,-0.0006019423,0.0270969519,0.0157938052,0.0218432587,0.40625,32,-0.0103714352,0.0091675507,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Psychological distress
B-TabPFN K=1,2,Q4_Repeating,Q7_PHQ2_Depressed,-0.0008291192,0.0219780097,0.0118793389,0.0183867239,0.75,32,-0.0087530367,0.0070947983,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Psychological distress
B-TabPFN K=1,2,Q4_Repeating,Q8_GAD2_Nervous,0.0060031017,0.0146327169,0.0110786932,0.0111633063,0.5625,32,0.0007274447,0.0112787587,positive,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Psychological distress
B-TabPFN K=1,2,Q4_Repeating,Q9_GAD2_Worry,0.0038994716,0.0135059144,0.0088725671,0.0108094511,0.625,32,-0.0009699298,0.008768873,uncertain_ci_crosses_zero,1024,positive_class_probability,descriptive unadjusted interval; not a significance test,Academic progression,Psychological distress
