model,curve,x,y,threshold
B-TabPFN nested K,PR,0.9448818897637795,0.43478260869565216,0.240351602435112
B-TabPFN nested K,PR,0.937007874015748,0.43272727272727274,0.2420024424791336
B-TabPFN nested K,PR,0.937007874015748,0.4343065693430657,0.24365234375
B-TabPFN nested K,PR,0.937007874015748,0.4358974358974359,0.24472109973430634
B-TabPFN nested K,PR,0.937007874015748,0.4375,0.2460017055273056
B-TabPFN nested K,PR,0.9291338582677166,0.4354243542435424,0.24627776443958282
B-TabPFN nested K,PR,0.9291338582677166,0.43703703703703706,0.248046875
B-TabPFN nested K,PR,0.9291338582677166,0.43866171003717475,0.2509765625
B-TabPFN nested K,PR,0.9291338582677166,0.44029850746268656,0.25128206610679626
B-TabPFN nested K,PR,0.9291338582677166,0.4419475655430712,0.25164756178855896
B-TabPFN nested K,PR,0.9291338582677166,0.44360902255639095,0.25236186385154724
B-TabPFN nested K,PR,0.9291338582677166,0.44528301886792454,0.25390625
B-TabPFN nested K,PR,0.9291338582677166,0.44696969696969696,0.25439453125
B-TabPFN nested K,PR,0.9291338582677166,0.44866920152091255,0.2548828125
B-TabPFN nested K,PR,0.9291338582677166,0.45038167938931295,0.2556776702404022
B-TabPFN nested K,PR,0.9291338582677166,0.4521072796934866,0.256041020154953
B-TabPFN nested K,PR,0.9291338582677166,0.45384615384615384,0.2568359375
B-TabPFN nested K,PR,0.9291338582677166,0.4555984555984556,0.2607421875
B-TabPFN nested K,PR,0.9291338582677166,0.4573643410852713,0.26171875
B-TabPFN nested K,PR,0.9212598425196851,0.45525291828793774,0.26611328125
B-TabPFN nested K,PR,0.9212598425196851,0.45703125,0.26726874709129333
B-TabPFN nested K,PR,0.9212598425196851,0.4588235294117647,0.26935288310050964
B-TabPFN nested K,PR,0.9212598425196851,0.46062992125984253,0.27001953125
B-TabPFN nested K,PR,0.9212598425196851,0.4624505928853755,0.27099609375
B-TabPFN nested K,PR,0.9212598425196851,0.4642857142857143,0.2726385295391083
B-TabPFN nested K,PR,0.9212598425196851,0.46613545816733065,0.2744140625
B-TabPFN nested K,PR,0.9212598425196851,0.468,0.27848726511001587
B-TabPFN nested K,PR,0.9133858267716536,0.46586345381526106,0.279296875
B-TabPFN nested K,PR,0.9133858267716536,0.46774193548387094,0.28044912219047546
B-TabPFN nested K,PR,0.905511811023622,0.46558704453441296,0.2879121005535126
B-TabPFN nested K,PR,0.905511811023622,0.46747967479674796,0.2900390625
B-TabPFN nested K,PR,0.905511811023622,0.46938775510204084,0.2919921875
B-TabPFN nested K,PR,0.905511811023622,0.4713114754098361,0.29314133524894714
B-TabPFN nested K,PR,0.905511811023622,0.4732510288065844,0.29541015625
B-TabPFN nested K,PR,0.905511811023622,0.47520661157024796,0.2967033088207245
B-TabPFN nested K,PR,0.8976377952755905,0.4730290456431535,0.2978515625
B-TabPFN nested K,PR,0.8818897637795275,0.4686192468619247,0.29802295565605164
B-TabPFN nested K,PR,0.8818897637795275,0.47058823529411764,0.30322265625
B-TabPFN nested K,PR,0.8740157480314961,0.46835443037974683,0.3053453862667084
B-TabPFN nested K,PR,0.8740157480314961,0.4703389830508475,0.306640625
B-TabPFN nested K,PR,0.8740157480314961,0.4723404255319149,0.30706292390823364
B-TabPFN nested K,PR,0.8740157480314961,0.47435897435897434,0.30908203125
B-TabPFN nested K,PR,0.8740157480314961,0.47639484978540775,0.31005859375
B-TabPFN nested K,PR,0.8740157480314961,0.47844827586206895,0.31575092673301697
B-TabPFN nested K,PR,0.8740157480314961,0.4805194805194805,0.32001954317092896
B-TabPFN nested K,PR,0.8740157480314961,0.4826086956521739,0.32080078125
B-TabPFN nested K,PR,0.8740157480314961,0.4847161572052402,0.3212890625
B-TabPFN nested K,PR,0.8740157480314961,0.4868421052631579,0.322265625
B-TabPFN nested K,PR,0.8740157480314961,0.4889867841409692,0.323407381772995
B-TabPFN nested K,PR,0.8740157480314961,0.4911504424778761,0.32568359375
B-TabPFN nested K,PR,0.8740157480314961,0.49333333333333335,0.32600733637809753
B-TabPFN nested K,PR,0.8661417322834646,0.49107142857142855,0.329717218875885
