analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,balance
context_size_balance_by_k,balanced_50,3,99,1,0.5,0.5,228,114,114,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.5897435897435898,0.4833118807366299,0.2605960075343308,0.23692075469914606,balanced_50
context_size_balance_by_k,balanced_50,3,99,20,0.5,0.5,228,114,114,34,13,21,11,10,7,6,0.5,0.5,0.375,0.46153846153846156,0.5238095238095238,0.4926739926739927,0.6111111111111112,16,0.47058823529411764,2.6666666666666665,0.41379310344827586,0.4411764705882353,0.5897435897435898,0.47995147302839614,0.2573728728267144,0.22139633140143228,balanced_50
context_size_balance_by_k,balanced_50,4,1,1,0.5,0.5,228,114,114,34,13,21,16,5,7,6,0.5,0.6470588235294118,0.5454545454545454,0.46153846153846156,0.7619047619047619,0.6117216117216118,0.6956521739130435,11,0.3235294117647059,1.8333333333333333,0.5,0.47619047619047616,0.6703296703296704,0.5043644350145898,0.24223078372149032,0.1491302646258298,balanced_50
context_size_balance_by_k,balanced_50,4,1,20,0.5,0.5,228,114,114,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.6593406593406593,0.4984854198089492,0.23796851515414072,0.21248067959266553,balanced_50
context_size_balance_by_k,balanced_50,4,7,1,0.5,0.5,228,114,114,34,13,21,14,7,7,6,0.5,0.5882352941176471,0.46153846153846156,0.46153846153846156,0.6666666666666666,0.5641025641025641,0.6666666666666666,13,0.38235294117647056,2.1666666666666665,0.46153846153846156,0.46153846153846156,0.5677655677655677,0.473895388799235,0.2583778851514943,0.18148201966986935,balanced_50
context_size_balance_by_k,balanced_50,4,7,20,0.5,0.5,228,114,114,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.6593406593406594,0.5137771484413952,0.2386905561161998,0.23106629445272334,balanced_50
context_size_balance_by_k,balanced_50,4,21,1,0.5,0.5,228,114,114,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.6593406593406593,0.5159208352706804,0.2368661192060138,0.16973366500700224,balanced_50
context_size_balance_by_k,balanced_50,4,21,20,0.5,0.5,228,114,114,34,13,21,16,5,7,6,0.5,0.6470588235294118,0.5454545454545454,0.46153846153846156,0.7619047619047619,0.6117216117216118,0.6956521739130435,11,0.3235294117647059,1.8333333333333333,0.5,0.47619047619047616,0.6556776556776557,0.5023713128976287,0.24082383532712073,0.22151735907091813,balanced_50
context_size_balance_by_k,balanced_50,4,42,1,0.5,0.5,228,114,114,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.673992673992674,0.5193884298423941,0.23231126211016614,0.14792846800649867,balanced_50
context_size_balance_by_k,balanced_50,4,42,20,0.5,0.5,228,114,114,34,13,21,17,4,7,6,0.5,0.6764705882352942,0.6,0.46153846153846156,0.8095238095238095,0.6355311355311355,0.7083333333333334,10,0.29411764705882354,1.6666666666666667,0.5217391304347826,0.4838709677419355,0.652014652014652,0.5044257155605506,0.23768530663797408,0.2120450217934216,balanced_50
