model,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
Standard TabPFN v2,336,127,209,205,4,113,14,0.76,0.6517857143,0.7777777778,0.1102362205,0.980861244,0.5455487322,0.6446540881,18,0.0535714286,1.2857142857,0.1931034483,0.1330798479,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,205,4,113,14,0.77,0.6517857143,0.7777777778,0.1102362205,0.980861244,0.5455487322,0.6446540881,18,0.0535714286,1.2857142857,0.1931034483,0.1330798479,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,205,4,114,13,0.78,0.6488095238,0.7647058824,0.1023622047,0.980861244,0.5416117244,0.6426332288,17,0.0505952381,1.3076923077,0.1805555556,0.1238095238,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,205,4,114,13,0.79,0.6488095238,0.7647058824,0.1023622047,0.980861244,0.5416117244,0.6426332288,17,0.0505952381,1.3076923077,0.1805555556,0.1238095238,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,205,4,115,12,0.8,0.6458333333,0.75,0.094488189,0.980861244,0.5376747165,0.640625,16,0.0476190476,1.3333333333,0.1678321678,0.1145038168,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,205,4,116,11,0.81,0.6428571429,0.7333333333,0.0866141732,0.980861244,0.5337377086,0.6386292835,15,0.0446428571,1.3636363636,0.1549295775,0.1051625239,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,207,2,117,10,0.82,0.6458333333,0.8333333333,0.0787401575,0.990430622,0.5345853897,0.6388888889,12,0.0357142857,1.2,0.1438848921,0.0961538462,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,207,2,119,8,0.83,0.6398809524,0.8,0.062992126,0.990430622,0.526711374,0.6349693252,10,0.0297619048,1.25,0.1167883212,0.0772200772,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,207,2,120,7,0.84,0.6369047619,0.7777777778,0.0551181102,0.990430622,0.5227743661,0.6330275229,9,0.0267857143,1.2857142857,0.1029411765,0.0676982592,0.7525336247,0.6394063959,0.1918938649,0.0547169641
Standard TabPFN v2,336,127,209,207,2,122,5,0.85,0.630952381,0.7142857143,0.0393700787,0.990430622,0.5149003504,0.6291793313,7,0.0208333333,1.4,0.0746268657,0.0485436893,0.7525336247,0.6394063959,0.1918938649,0.0547169641
