analysis,design,fold,seed,K,requested_minority_prevalence,realized_minority_prevalence,context_n,context_minority_n,context_majority_n,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10,prevalence_condition
fixed_size_prevalence_sweep,fixed_n_228_0.5,4,99,1,0.5,0.5,228,114,114,34,13,21,17,4,8,5,0.5,0.6470588235294118,0.5555555555555556,0.38461538461538464,0.8095238095238095,0.5970695970695971,0.68,9,0.2647058823529412,1.8,0.45454545454545453,0.4098360655737705,0.6831501831501832,0.5022662880635016,0.24562903341654763,0.322071104803506,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,5,1,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.7509157509157509,0.672806079254427,0.19882248839644093,0.14154019206762317,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,5,7,1,0.5,0.5,228,114,114,34,13,21,16,5,4,9,0.5,0.7352941176470589,0.6428571428571429,0.6923076923076923,0.7619047619047619,0.7271062271062271,0.8,14,0.4117647058823529,1.5555555555555556,0.6666666666666666,0.6818181818181818,0.7802197802197802,0.7220674875652251,0.1873296229543936,0.11674127114169738,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,5,21,1,0.5,0.5,228,114,114,34,13,21,17,4,4,9,0.5,0.7647058823529411,0.6923076923076923,0.6923076923076923,0.8095238095238095,0.7509157509157509,0.8095238095238095,13,0.38235294117647056,1.4444444444444444,0.6923076923076923,0.6923076923076923,0.7435897435897436,0.6680816449764415,0.19796041909810702,0.13230202960617402,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,5,42,1,0.5,0.5,228,114,114,34,13,21,17,4,6,7,0.5,0.7058823529411765,0.6363636363636364,0.5384615384615384,0.8095238095238095,0.673992673992674,0.7391304347826086,11,0.3235294117647059,1.5714285714285714,0.5833333333333334,0.5555555555555556,0.7692307692307693,0.6862519590077611,0.19437487075469528,0.1126902576755075,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,5,99,1,0.5,0.5,228,114,114,34,13,21,15,6,4,9,0.5,0.7058823529411765,0.6,0.6923076923076923,0.7142857142857143,0.7032967032967032,0.7894736842105263,15,0.4411764705882353,1.6666666666666667,0.6428571428571429,0.6716417910447762,0.73992673992674,0.6499186120896647,0.20222920205745468,0.0841389552635305,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,6,1,1,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6483516483516484,0.714619291308819,0.210831217776563,0.2244425630744766,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,6,7,1,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6593406593406593,0.7023971301671161,0.2227677284688408,0.1926858731928994,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,6,21,1,0.5,0.5,228,114,114,34,13,21,15,6,6,7,0.5,0.6470588235294118,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.6263736263736264,0.7142857142857143,13,0.38235294117647056,1.8571428571428572,0.5384615384615384,0.5384615384615384,0.6446886446886447,0.6900825753766928,0.22248670647616428,0.20379716201740153,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,6,42,1,0.5,0.5,228,114,114,34,13,21,16,5,6,7,0.5,0.6764705882352942,0.5833333333333334,0.5384615384615384,0.7619047619047619,0.6501831501831501,0.7272727272727273,12,0.35294117647058826,1.7142857142857142,0.56,0.546875,0.6520146520146519,0.7176671367847838,0.21405155976151088,0.2175710643915569,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,6,99,1,0.5,0.5,228,114,114,34,13,21,12,9,6,7,0.5,0.5588235294117647,0.4375,0.5384615384615384,0.5714285714285714,0.554945054945055,0.6666666666666666,16,0.47058823529411764,2.2857142857142856,0.4827586206896552,0.5147058823529411,0.6483516483516484,0.7085490205833758,0.22602430965452575,0.23022257448995814,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,10,1,1,0.5,0.5,228,114,114,33,13,20,13,7,2,11,0.5,0.7272727272727273,0.6111111111111112,0.8461538461538461,0.65,0.7480769230769231,0.8666666666666667,18,0.5454545454545454,1.6363636363636365,0.7096774193548387,0.7857142857142857,0.8326923076923076,0.7382842027908918,0.1825136517899563,0.16913195451100668,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,10,7,1,0.5,0.5,228,114,114,33,13,20,14,6,2,11,0.5,0.7575757575757576,0.6470588235294118,0.8461538461538461,0.7,0.773076923076923,0.875,17,0.5151515151515151,1.5454545454545454,0.7333333333333333,0.7971014492753623,0.8423076923076923,0.7312211910896123,0.18031256446587005,0.1916844253287171,0.50
fixed_size_prevalence_sweep,fixed_n_228_0.5,10,21,1,0.5,0.5,228,114,114,33,13,20,13,7,2,11,0.5,0.7272727272727273,0.6111111111111112,0.8461538461538461,0.65,0.7480769230769231,0.8666666666666667,18,0.5454545454545454,1.6363636363636365,0.7096774193548387,0.7857142857142857,0.8538461538461539,0.8115185646562164,0.16792008604221176,0.24271289101152707,0.50
