outer_fold,inner_fold,K,n,positive,negative,tn,fp,fn,tp,threshold,accuracy,precision,recall,specificity,balanced_accuracy,npv,referral_n,referral_rate,reviews_per_detected_positive,f1,f2,auc_roc,average_precision,brier,ece_10
4,1,15,61,23,38,30,8,8,15,0.5,0.737704918,0.652173913,0.652173913,0.7894736842,0.7208237986,0.7894736842,23,0.3770491803,1.5333333333,0.652173913,0.652173913,0.7768878719,0.6631322776,0.1882831955,0.1043397635
4,1,20,61,23,38,31,7,9,14,0.5,0.737704918,0.6666666667,0.6086956522,0.8157894737,0.7122425629,0.775,21,0.3442622951,1.5,0.6363636364,0.6194690265,0.7745995423,0.6554184236,0.189563841,0.1004386283
4,2,1,61,23,38,20,18,7,16,0.5,0.5901639344,0.4705882353,0.6956521739,0.5263157895,0.6109839817,0.7407407407,34,0.5573770492,2.125,0.5614035088,0.6349206349,0.7208237986,0.7097452403,0.2243685745,0.1762306803
4,2,5,61,23,38,23,15,6,17,0.5,0.6557377049,0.53125,0.7391304348,0.6052631579,0.6721967963,0.7931034483,32,0.5245901639,1.8823529412,0.6181818182,0.685483871,0.733409611,0.726230898,0.2192034622,0.1854321094
4,2,10,61,23,38,23,15,6,17,0.5,0.6557377049,0.53125,0.7391304348,0.6052631579,0.6721967963,0.7931034483,32,0.5245901639,1.8823529412,0.6181818182,0.685483871,0.7242562929,0.7143909991,0.2196963984,0.1591170196
4,2,15,61,23,38,23,15,6,17,0.5,0.6557377049,0.53125,0.7391304348,0.6052631579,0.6721967963,0.7931034483,32,0.5245901639,1.8823529412,0.6181818182,0.685483871,0.7242562929,0.7087426324,0.2181481006,0.1551854974
4,2,20,61,23,38,24,14,7,16,0.5,0.6557377049,0.5333333333,0.6956521739,0.6315789474,0.6636155606,0.7741935484,30,0.4918032787,1.875,0.6037735849,0.6557377049,0.7242562929,0.7128248721,0.2165938577,0.1752091219
4,3,1,60,22,38,28,10,1,21,0.5,0.8166666667,0.6774193548,0.9545454545,0.7368421053,0.8456937799,0.9655172414,31,0.5166666667,1.4761904762,0.7924528302,0.8823529412,0.8995215311,0.824624238,0.164734106,0.1798553002
4,3,5,60,22,38,26,12,2,20,0.5,0.7666666667,0.625,0.9090909091,0.6842105263,0.7966507177,0.9285714286,32,0.5333333333,1.6,0.7407407407,0.8333333333,0.8732057416,0.7552180817,0.1736132916,0.2051706771
4,3,10,60,22,38,26,12,2,20,0.5,0.7666666667,0.625,0.9090909091,0.6842105263,0.7966507177,0.9285714286,32,0.5333333333,1.6,0.7407407407,0.8333333333,0.8684210526,0.7494971382,0.174952772,0.1890197928
